,ZIP,2021_Median_Household_Income,2026_Median_Household_Income,2021_Average_Household_Income,2026_Average_Household_Income,2021-2026_Population:_Compound_Annual_Growth_Rate
22330,66948,61768,70337,96406,105736,-1.28
22331,66949,45108,48630,62624,69773,-0.93
22332,66951,53766,58870,71854,78914,-0.64
22333,66952,47442,50873,58337,63885,-0.66
22334,66953,54411,58024,73464,80339,-0.75
22335,66955,54613,60162,82431,89446,-0.88
22336,66956,44027,47368,71273,78912,-1.13
22337,66958,56301,61514,81087,88116,-0.9
22338,66959,61214,71164,80252,89399,-0.83
22339,66960,61237,68262,80676,89283,-0.7
22340,66962,53961,58855,73547,80763,-0.89
22341,66963,45529,48961,62748,69284,-1.03
22342,66964,47710,52040,57312,63313,-0.88
22343,66966,50451,54527,61584,68197,-0.86
22344,66967,42190,44172,65410,71106,-0.67
22345,66968,49716,50540,60809,65348,-0.91
22346,66970,40385,45154,68231,75687,-0.93
22347,67001,90501,95632,112465,124078,1.07
22348,67002,82302,86675,100774,111238,0.91
22349,67003,52701,55060,65472,72251,-0.8
22350,67004,55988,61312,64958,74017,-1.05
22351,67005,47655,51149,62440,68360,-0.7
22352,67008,61903,66988,76697,84075,-0.4
22353,67009,50000,51351,60267,64043,-0.57
22354,67010,56383,62448,73036,80976,0.14
22355,67012,57544,56944,64351,74391,-0.4
22356,67013,61793,65920,71897,78319,-0.43
22357,67016,75652,83089,88856,103594,0.56
22358,67017,74838,82470,90567,102400,1.06
22359,67018,54745,57981,73336,80027,-0.75
22360,67019,57370,62562,68568,74416,-0.62
22361,67020,59005,63021,68170,76049,-0.05
22362,67021,64555,71658,92595,102020,-0.84
22363,67022,50115,55634,65637,76411,-1.15
22364,67023,56124,62379,68658,74127,-0.63
22365,67024,47914,51449,54790,59981,-1.12
22366,67025,78318,86560,100242,113590,0.5
22367,67026,82284,91618,91037,100951,0.55
22368,67028,63077,72140,87744,96590,-0.74
22369,67029,53221,57645,67031,73639,-0.54
22370,67030,94398,100476,109764,121277,1.38
22371,67031,60949,66160,74052,82694,-0.49
22372,67035,57822,63101,83330,91698,-0.62
