,ZIP,2021_Median_Household_Income,2026_Median_Household_Income,2021_Average_Household_Income,2026_Average_Household_Income,2021-2026_Population:_Compound_Annual_Growth_Rate
5197,17870,64471,68632,86304,93907,0.15
5198,17872,37235,39794,49423,54666,-0.71
5199,17876,47500,53313,58820,65090,0.53
5200,17878,63984,71478,79605,90171,-0.07
5201,17880,62500,62500,62500,62500,0.0
5202,17881,51637,54725,57921,65520,-0.66
5203,17884,50000,56146,60174,70493,-0.78
5204,17886,57899,61803,73016,79879,0.2
5205,17887,48755,56677,64147,73037,0.41
5206,17888,48204,53898,56106,63305,-0.19
5207,17889,73479,80048,102123,114643,0.26
5208,17901,52028,55053,67102,73457,-0.57
5209,17920,44898,54062,56105,62828,0.0
5210,17921,54564,58667,64885,71696,-0.6
5211,17922,77624,82913,85489,95667,-0.35
5212,17923,56223,62771,61972,69768,-0.13
5213,17925,59610,65807,69817,77979,-0.76
5214,17929,60679,62474,67716,71996,-0.5
5215,17930,63191,67294,76956,84264,0.08
5216,17931,58479,63009,65416,71871,-0.68
5217,17934,48994,53325,54901,61354,-0.55
5218,17935,43910,47567,53101,58282,-1.12
5219,17938,64931,75041,74887,84372,-0.33
5220,17941,63682,72761,79715,89902,-0.59
5221,17948,41396,45414,51952,57380,-0.61
5222,17949,48630,53132,54853,61459,-0.56
5223,17952,57279,64005,70171,77428,-0.69
5224,17953,52381,57169,56945,63206,-0.7
5225,17954,35519,39353,49219,53406,-0.26
5226,17957,66592,76708,75724,85767,0.0
5227,17959,57420,62294,68715,77572,-0.63
5228,17960,72577,82571,87850,98699,-0.59
5229,17961,69601,76460,90982,99823,-0.56
5230,17963,65751,73634,75946,84578,-0.54
5231,17964,55765,59171,68998,77259,-0.98
5232,17965,54849,55571,60716,65660,-0.77
5233,17967,64383,73781,74893,84202,-0.58
5234,17968,63485,72354,82210,92778,0.16
5235,17970,42505,46874,61008,68968,-0.9
5236,17972,65254,72634,81520,90401,-0.49
5237,17974,46296,47710,56350,60749,-0.88
5238,17976,38202,43516,51017,57557,-0.96
5239,17978,59013,64437,77408,88637,0.63
5240,17980,57853,63483,68559,77504,-0.56
5241,17981,52443,56947,60577,68125,-0.57
5242,17982,59646,65133,69572,78151,-0.72
5243,17983,65123,73253,73279,82242,0.03
5244,17985,60277,58936,71820,77282,0.01
5245,18011,85735,94150,93926,104779,0.85
5246,18013,67350,75435,85889,96362,0.01
5247,18014,67977,76842,84975,96287,0.14
5248,18015,53696,57926,76448,84317,0.13
5249,18017,78275,83622,100369,110590,0.24
5250,18018,57687,62783,76070,83343,0.31
5251,18020,92503,101722,118828,131785,0.51
5252,18030,58930,59815,72444,76199,-0.15
5253,18031,95318,106137,115425,131451,1.88
5254,18032,61790,66891,73938,80971,0.23
5255,18034,103455,112789,128774,144372,1.02
5256,18035,60207,80241,78005,88520,1.12
5257,18036,100012,107310,123869,138168,0.57
5258,18037,70943,78995,88043,99178,0.17
5259,18038,93310,101482,104033,119600,-0.01
5260,18040,96716,106009,119332,133986,0.87
5261,18041,76429,84512,90153,101577,0.17
5262,18042,60403,64858,79162,86951,0.43
5263,18045,88986,98405,108589,121246,0.67
5264,18049,70730,78922,91628,102373,0.24
5265,18051,109182,117310,135887,151083,0.44
5266,18052,65798,75528,79189,88286,0.25
5267,18053,77636,82160,90996,101683,0.07
5268,18054,84575,94773,107397,121757,0.48
5269,18055,78149,85055,107214,119681,0.16
5270,18056,64538,73124,84281,94861,0.16
5271,18058,68204,78101,85531,98351,0.01
5272,18059,88713,102724,115957,132461,0.33
5273,18062,90243,101826,113588,126702,0.48
5274,18064,86546,95848,106607,118691,0.42
5275,18066,92732,103495,112949,128693,0.39
5276,18067,74043,79461,83560,92627,0.24
5277,18069,95609,107733,132237,149287,0.27
5278,18070,85202,100117,101177,115704,0.3
5279,18071,68639,73033,86600,94183,-0.28
5280,18072,66190,72741,80363,90022,-0.07
5281,18073,93572,104802,107672,122816,0.79
5282,18074,86905,93015,106907,119821,0.29
5283,18076,66999,77279,82823,94056,-0.06
5284,18077,86639,95469,111909,125840,0.26
5285,18078,92680,103517,115502,130565,0.41
5286,18079,57895,53341,78703,88152,0.63
5287,18080,68251,77907,82637,93438,0.15
5288,18083,92191,100000,104251,112250,0.23
5289,18085,71239,76707,95065,107748,0.87
5290,18087,73482,83614,94169,108739,0.3
5291,18088,72901,80487,88855,100855,0.13
5292,18091,65692,74511,82240,91588,1.65
5293,18092,89973,100892,112772,127829,0.25
5294,18101,28552,31956,45417,50948,1.94
5295,18102,33416,36270,44796,49349,0.76
5296,18103,56638,61822,78572,88053,0.41
5297,18104,78838,86114,102984,114729,0.54
5298,18106,83462,95486,106900,120691,0.33
5299,18109,45130,50187,55206,61670,0.46
5300,18201,42909,47000,55103,61120,0.1
5301,18202,43957,48282,57321,63841,0.21
5302,18210,63125,71551,77829,88487,0.11
5303,18211,73538,80490,88099,97032,-0.27
5304,18214,63364,68251,81319,89374,-0.24
5305,18216,50546,57831,72310,83707,-0.2
5306,18218,40085,43368,53659,60573,-0.56
5307,18219,66434,71769,81767,89974,0.08
5308,18220,52429,59890,73708,83307,-0.63
5309,18222,72412,76752,85111,94004,0.1
5310,18223,51042,61656,58099,67695,-0.26
5311,18224,49025,52934,58487,65777,-0.28
5312,18229,67429,75089,79378,88269,-0.18
5313,18230,62597,71519,83895,97887,-0.37
5314,18232,37824,41731,55368,61737,0.12
5315,18235,62958,68667,76332,84584,-0.23
5316,18237,43006,47995,56552,63527,-0.87
5317,18240,53961,57427,64066,70585,-0.32
5318,18241,58342,62105,65989,71741,-0.11
5319,18244,64900,69609,85525,95199,0.0
5320,18248,66642,74155,91911,104407,-0.79
5321,18249,69564,76529,85489,95064,-0.23
5322,18250,59205,67499,79977,91438,-0.38
5323,18252,54656,58526,65004,71873,-0.69
5324,18254,48513,52103,66707,75789,-0.24
5325,18255,60520,68180,74902,84473,-0.56
5326,18301,62654,68390,83607,92153,0.06
5327,18302,66783,73764,83503,92725,0.09
5328,18320,0,0,0,0,0.0
5329,18321,61933,70237,91212,102906,-0.1
5330,18322,67398,74639,80385,88357,-0.03
5331,18324,63425,69992,75099,82270,-0.14
5332,18325,62520,72681,79065,89831,-0.06
5333,18326,52599,57042,75663,83131,-0.03
5334,18327,67118,74666,80355,88694,0.03
5335,18328,68667,73662,84308,92470,-0.25
5336,18330,75103,81037,86446,96681,0.18
5337,18331,76128,82924,82414,93582,-0.04
5338,18332,73760,79621,92491,101633,-0.04
5339,18333,65769,75678,76103,85503,0.0
5340,18334,65327,70538,79011,87892,0.02
5341,18336,66662,72060,78618,86247,-0.09
5342,18337,80545,86174,102553,113481,-0.05
5343,18340,60000,75000,74651,84424,0.0
5344,18343,73240,76606,100118,114298,0.31
5345,18344,49776,53377,72651,79292,-0.41
5346,18346,58654,63425,73780,80441,0.0
5347,18347,55311,62850,66724,75664,-0.01
5348,18348,0,0,0,0,0.0
5349,18349,0,0,0,0,0.0
5350,18350,64468,70688,100811,114245,-0.01
5351,18353,75442,82713,93862,106169,-0.17
5352,18354,71837,85358,89096,100804,-0.06
5353,18355,76035,85193,97217,107995,0.04
5354,18356,81380,81185,84483,92508,0.67
5355,18357,71489,80717,85085,97062,0.0
5356,18360,61662,69065,84717,94302,-0.03
5357,18370,76644,85325,97932,108593,0.04
5358,18371,86901,93281,92171,101631,-0.17
5359,18372,53149,59596,76400,85584,-0.14
5360,18403,60286,70253,71804,81848,0.38
5361,18405,62815,64444,76669,81794,-0.03
5362,18407,48298,53462,65874,75261,-0.22
5363,18411,79901,85151,105484,116999,0.16
5364,18414,75424,81553,98890,112686,-0.16
5365,18415,61278,65577,79019,86354,0.15
5366,18417,59904,67117,75031,83405,0.13
5367,18419,60344,66163,78808,88418,-0.42
5368,18421,56077,60347,74794,82770,-0.16
5369,18424,63583,69615,83119,93935,0.16
5370,18425,59237,71304,80722,93568,-0.31
5371,18426,51371,57800,70879,81626,-0.15
5372,18428,61663,66426,77880,85655,0.02
5373,18430,64722,67802,75644,81264,-0.23
5374,18431,52884,54318,68769,73872,0.03
5375,18433,59004,68805,85039,98801,0.08
5376,18434,54279,61377,77110,89865,0.17
5377,18435,79341,89412,108770,124476,0.02
5378,18436,60501,66335,74413,82542,0.1
5379,18437,52703,58442,66696,75243,0.9
5380,18438,63381,69155,79497,87804,0.05
5381,18439,47004,50382,65073,72389,0.53
5382,18441,54805,60550,78082,84137,-0.2
5383,18443,86213,89060,101211,107512,0.35
5384,18444,78351,84293,98066,110988,0.1
5385,18445,59753,65013,76499,84378,0.17
5386,18446,56448,60893,74870,82932,-0.42
5387,18447,54057,58557,69394,77934,0.24
5388,18451,62597,68936,91069,103395,-0.14
5389,18452,55089,60582,68318,75492,-0.13
5390,18453,53920,57689,69038,75170,0.69
5391,18455,56345,60853,68925,75844,0.26
5392,18456,55366,60373,70378,78966,0.51
5393,18457,125000,125000,125000,125000,0.0
5394,18458,64367,73108,83095,94178,0.01
5395,18460,50906,54581,65089,71005,0.39
5396,18461,56482,62338,68180,76332,0.58
5397,18462,60188,65741,71023,78599,-0.12
5398,18463,78971,87652,89785,98763,-0.22
5399,18464,59847,66398,86321,98710,-0.17
5400,18465,56737,62301,70575,77708,-0.29
5401,18466,59801,67383,80730,90459,-0.02
5402,18469,86105,89323,102069,108806,0.54
5403,18470,63002,65672,79667,85920,-0.27
5404,18471,113468,121860,195888,213546,0.15
5405,18472,58032,61907,70709,77166,0.18
5406,18473,59164,59164,66667,66667,0.0
5407,18503,19040,20416,34942,36035,0.77
5408,18504,45451,50594,58947,65617,-0.11
5409,18505,42993,46486,59400,65348,-0.02
5410,18507,59483,72849,77856,88968,0.33
5411,18508,39133,42207,51990,57862,-0.05
5412,18509,51690,54521,73852,81390,-0.02
5413,18510,39383,41297,59610,64505,0.18
5414,18512,58730,63833,73325,81118,-0.02
5415,18517,44841,48630,59388,66349,0.11
5416,18518,55721,61057,76188,87141,0.07
5417,18519,49424,57387,67428,76312,0.14
5418,18602,112641,125410,153784,167203,0.0
5419,18603,51548,56720,66275,75382,-0.22
5420,18610,60159,66018,70698,79127,-0.1
5421,18612,70142,78390,93876,104710,-0.08
5422,18614,45301,48235,60800,65720,-0.74
5423,18615,61565,68236,74604,83738,-0.51
5424,18616,58049,61230,71920,78463,-0.79
5425,18617,39323,43748,54893,61659,-0.43
5426,18618,70401,77671,88698,99420,-0.21
5427,18619,52602,56475,70151,77118,-0.85
5428,18621,62398,70491,78974,89897,-0.23
5429,18622,60364,68093,76083,88155,0.1
5430,18623,57240,61275,74199,82267,-0.45
5431,18624,48291,46527,94150,94312,-0.24
5432,18625,59164,75000,73717,80113,0.0
5433,18626,55686,60098,67091,73445,0.0
5434,18628,54878,59597,67584,73985,0.0
5435,18629,60168,66615,72546,81476,-0.5
5436,18630,56006,58968,76627,83367,-0.23
5437,18631,44763,50000,66739,58125,0.0
5438,18632,50208,52424,64566,69935,-0.82
5439,18634,44723,49527,58618,66329,-0.16
5440,18635,55863,61578,71513,80736,-0.26
5441,18636,59803,64418,71299,78483,-0.17
5442,18640,50213,54074,66687,74813,-0.11
5443,18641,57732,63636,75702,85672,-0.09
5444,18642,57104,61343,75164,82835,-0.11
5445,18643,55937,60760,73440,81551,-0.21
5446,18644,60965,66592,81224,90331,-0.13
5447,18651,43594,49315,56416,64584,-0.26
5448,18655,56186,62386,69494,79408,-0.32
5449,18656,58227,65003,72382,83189,-0.06
5450,18657,60075,65251,73752,81256,-0.49
5451,18660,65321,71590,80665,91749,-0.18
5452,18661,58689,65182,75304,84512,-0.14
5453,18701,26215,28392,39089,42104,-0.04
5454,18702,42085,45749,56519,62413,-0.08
5455,18704,52808,55771,66476,72835,-0.12
5456,18705,50931,54825,65319,73597,-0.22
5457,18706,50924,55779,61748,70183,-0.21
5458,18707,82287,90199,106841,120205,-0.02
5459,18708,81206,87038,102432,114187,-0.13
5460,18709,41680,47248,51580,58209,-0.14
5461,18711,0,0,0,0,0.0
5462,18801,58915,61774,77946,83561,-0.25
5463,18810,50578,55210,71744,80471,-0.43
5464,18812,75227,79859,93141,101202,-0.35
5465,18814,57598,64084,73152,79513,-0.32
5466,18817,55435,57183,68616,74633,-0.46
5467,18818,55154,57397,67988,73216,-0.2
5468,18821,50613,53560,60829,67500,-0.28
5469,18822,51695,54176,62758,68642,-0.31
5470,18823,66107,71932,88383,96574,-0.32
5471,18824,61089,63853,87756,93162,-0.27
5472,18825,62516,68903,79536,87100,-0.32
5473,18826,66508,72876,87968,96270,-0.25
5474,18828,58774,62093,82746,89889,-0.34
5475,18829,57602,61174,75096,83260,-0.1
5476,18830,55548,58886,73473,79275,-0.35
5477,18831,56075,60473,72237,81733,-0.42
5478,18832,52707,56163,65063,72041,-0.45
5479,18833,53769,57701,68907,76532,-0.46
5480,18834,55772,58491,80356,87247,-0.34
5481,18837,53896,58460,66709,75039,-0.32
5482,18840,50578,52847,66941,72531,-0.5
5483,18842,63627,68023,76809,83384,-0.28
5484,18844,66321,71773,82374,90384,-0.43
5485,18845,65259,74442,86273,97920,-0.24
5486,18846,61130,68746,84321,92911,-0.09
5487,18847,51768,54414,64760,70754,-0.33
5488,18848,50021,52473,64844,71062,-0.33
5489,18850,54278,58000,71259,79678,-0.43
5490,18851,55950,61554,65866,73930,-0.16
5491,18853,64133,71005,84444,94660,-0.45
5492,18854,54265,57606,77338,85777,-0.29
5493,18901,108037,118908,140720,156910,0.19
5494,18902,150828,160075,187913,206571,0.43
5495,18913,0,0,0,0,0.0
5496,18914,110749,120815,139743,155071,0.45
5497,18915,81934,92824,104634,118935,0.47
5498,18917,65766,75194,83868,93059,0.5
5499,18920,82390,93559,118255,133617,0.07
5500,18923,115125,125633,142874,158736,0.75
5501,18925,150434,166334,188551,209264,0.72
5502,18927,98571,106809,114620,128168,0.77
5503,18928,129095,150000,194046,218557,0.52
5504,18929,146177,159343,181639,201358,0.19
5505,18930,92953,105670,119477,135705,0.21
5506,18931,130086,139460,192953,217945,0.56
5507,18932,111538,127247,142673,159325,0.15
5508,18933,146134,155526,219934,237005,0.21
5509,18936,115376,121415,145448,160633,0.37
5510,18938,124866,137187,183237,200563,0.33
5511,18940,134084,146796,173684,189696,0.4
5512,18942,94211,106511,122370,139904,0.42
5513,18944,95539,104329,116555,130720,0.5
5514,18947,109521,119864,143033,160646,0.5
5515,18951,78506,86789,98078,110797,0.59
5516,18954,134874,145547,165739,180591,-0.07
5517,18955,73495,80463,92224,101534,0.04
5518,18960,79363,88077,101512,114565,0.13
5519,18962,0,0,0,0,0.0
5520,18964,77886,83502,98731,108863,0.44
5521,18966,106221,114534,134287,148964,-0.11
5522,18969,83561,92011,105008,118664,0.34
5523,18972,83729,94742,111118,127914,0.35
5524,18974,83321,90813,101269,112656,0.35
5525,18976,104717,112418,133257,147467,0.43
5526,18977,163161,170338,229168,244505,0.22
5527,19001,89318,98757,105008,116203,0.06
5528,19002,115073,126783,174228,190657,0.17
5529,19003,99554,106775,140373,154293,0.44
5530,19004,121427,128339,176424,187987,2.05
5531,19006,104657,113702,137830,153478,0.28
5532,19007,56948,63393,75715,84244,0.07
5533,19008,104274,113702,133667,150052,0.03
5534,19009,113283,124014,148505,168188,0.12
5535,19010,121540,137691,181510,199821,0.07
5536,19012,100086,105876,119753,131838,0.02
5537,19013,32495,35367,46374,51865,0.08
5538,19014,89252,98528,108875,123801,0.11
5539,19015,62336,69439,78422,88126,-0.01
5540,19018,61125,68736,76601,85415,0.1
5541,19020,67285,76008,90337,100509,0.18
5542,19021,59056,65477,72532,81206,-0.03
5543,19022,42166,46586,57939,65389,0.17
5544,19023,47178,52346,59825,66880,0.3
5545,19025,152590,148628,188197,188020,4.15
5546,19026,76055,85157,100717,113261,0.01
5547,19027,82666,91294,120726,133664,0.14
5548,19029,51917,55494,67712,75545,0.09
5549,19030,77968,85151,96214,106913,0.03
5550,19031,109117,118473,137339,153862,0.48
5551,19032,59867,63877,71909,79984,-0.04
5552,19033,89524,100014,101044,111969,0.05
5553,19034,107626,116624,156544,172184,0.36
5554,19035,200001,200001,281821,300712,0.24
5555,19036,61640,68728,79495,88779,-0.08
5556,19038,99146,107058,124370,140314,0.02
5557,19040,80332,87478,102516,114205,0.33
5558,19041,138879,155265,197616,215841,0.27
5559,19043,64888,73523,84005,93201,0.03
5560,19044,88176,96016,109352,121010,0.28
5561,19046,100867,108590,137424,151206,0.36
5562,19047,100765,108440,125044,138699,0.05
5563,19050,54805,59591,75332,84832,0.07
5564,19053,87786,97450,105593,117982,0.27
5565,19054,84010,91139,95776,106234,-0.01
5566,19055,78212,82219,82856,90370,-0.13
5567,19056,76747,84489,91896,101492,0.03
5568,19057,75942,82041,85758,94726,-0.12
5569,19060,142670,156659,174501,195426,0.26
5570,19061,61499,68729,80658,90721,0.04
5571,19063,105934,115425,148461,164838,0.3
5572,19064,113612,124031,135113,151303,0.14
5573,19066,193042,200001,262763,281926,0.24
5574,19067,112293,120949,153952,167758,0.1
5575,19070,82935,91328,100370,112897,0.11
5576,19072,124226,134113,191270,206963,0.33
5577,19073,117383,133867,182264,203641,0.87
5578,19074,81517,87976,93522,103555,0.02
5579,19075,99812,106325,119499,132586,0.28
5580,19076,65169,70897,83173,92504,-0.07
5581,19078,79457,86289,91602,101964,0.0
5582,19079,48690,52801,67125,76760,0.07
5583,19081,104825,115003,148752,165581,0.06
5584,19082,44155,49990,64260,73064,0.1
5585,19083,108409,118192,133228,149505,0.03
5586,19085,200001,200001,282783,303674,0.01
5587,19086,119855,133239,159431,179590,0.05
5588,19087,145002,157355,202986,222200,0.13
5589,19090,79367,84539,96785,106960,0.39
5590,19094,74354,80459,86865,97514,0.1
5591,19095,80663,90380,105256,117933,0.44
5592,19096,144657,154208,196909,213882,0.47
5593,19102,101193,112428,130492,146193,1.66
5594,19103,83325,98454,137219,158251,1.8
5595,19104,29468,32585,49454,56359,1.31
5596,19106,108993,116453,152131,168930,2.08
5597,19107,64230,76396,101682,117752,1.13
5598,19111,53017,57978,70661,79689,0.06
5599,19112,0,0,0,0,0.0
5600,19113,0,0,0,0,0.0
5601,19114,61094,67697,80393,90442,0.07
5602,19115,57408,64554,85085,97271,0.05
5603,19116,57325,64254,79727,90508,0.1
5604,19118,91947,103854,145682,163755,-0.06
5605,19119,67851,77090,109762,124125,0.04
5606,19120,38128,41129,49333,55156,-0.07
5607,19121,22974,26202,42293,47866,0.52
5608,19122,37051,41327,58268,66799,1.55
5609,19123,79928,89209,116674,130628,4.56
5610,19124,35947,38752,49077,54471,-0.07
5611,19125,68579,76752,93164,103966,2.51
5612,19126,46242,52933,64344,73783,-0.04
5613,19127,76140,83967,92022,107626,0.8
5614,19128,78295,87015,104706,118832,0.17
5615,19129,72490,83513,104064,119375,0.24
5616,19130,86322,94974,126728,140731,1.46
5617,19131,38271,41682,54098,61072,0.11
5618,19132,24261,26214,37719,42169,-0.06
5619,19133,18685,21009,33462,37273,0.06
5620,19134,31237,34216,47715,53304,0.18
5621,19135,47713,51096,57550,63645,0.01
5622,19136,51829,55218,67302,75222,0.02
5623,19137,59217,65178,73641,82006,0.05
5624,19138,42775,46861,56493,62930,-0.14
5625,19139,32898,36123,43146,48059,0.22
5626,19140,23652,25934,34708,38400,0.12
5627,19141,35116,38064,49312,55376,0.08
5628,19142,32173,35382,42839,47898,0.01
5629,19143,36730,39584,53176,60031,0.11
5630,19144,37629,41307,58998,67281,0.2
5631,19145,48385,53181,68459,77316,0.3
5632,19146,72177,82283,112530,126961,0.83
5633,19147,83259,94217,128895,146737,0.96
5634,19148,54154,58110,74164,83391,0.15
5635,19149,45759,50100,60566,67773,0.07
5636,19150,50267,53919,62527,69836,-0.06
5637,19151,51159,56114,68528,77365,-0.04
5638,19152,53620,58295,68237,76975,0.01
5639,19153,48292,52522,60271,67501,-0.1
5640,19154,68518,75794,93314,105479,-0.05
5641,19301,110796,124276,168396,184280,0.68
5642,19310,67973,79093,90456,106024,0.28
5643,19311,124547,141196,165284,182770,0.67
5644,19312,156082,167669,225466,244608,0.04
5645,19317,138875,155247,196130,217276,0.16
5646,19319,142603,172197,194990,213682,0.19
5647,19320,72149,79571,95784,107351,0.4
5648,19330,87269,95748,120694,137994,0.39
5649,19333,151683,160492,209186,227262,0.25
5650,19335,117454,129664,152608,168370,0.83
5651,19341,109267,122504,141417,157755,1.62
5652,19342,115681,128390,165050,183338,0.46
5653,19343,151257,161389,181067,199093,0.54
5654,19344,75600,84121,101634,115978,0.45
5655,19348,101930,111209,146391,161358,0.79
5656,19350,143256,154434,184609,201050,0.41
5657,19352,121150,133845,154434,172080,0.43
5658,19355,135950,143995,190032,200554,1.39
5659,19362,69802,76310,91142,104669,0.23
5660,19363,77667,86039,107030,121029,0.7
5661,19365,74970,82393,93003,106333,0.8
5662,19372,100725,108768,122962,138238,0.29
5663,19373,167788,187211,240586,262207,0.41
5664,19374,113210,131747,154257,169549,0.24
5665,19380,105051,116324,141960,158962,0.41
5666,19382,103694,114433,151821,166948,0.42
5667,19390,84332,95377,123394,138826,0.52
5668,19401,53759,58169,75458,83964,0.35
5669,19403,88233,97773,114250,127229,0.2
5670,19405,62511,68276,81543,89992,0.22
5671,19406,92568,101884,119077,132420,1.09
5672,19422,128975,141774,178845,195624,0.5
5673,19425,182034,199960,220716,242567,0.81
5674,19426,127379,140877,156722,174289,0.62
5675,19428,93211,102146,123266,136733,1.6
5676,19435,91790,101078,100705,111806,0.27
5677,19436,101592,107603,170608,184915,0.27
5678,19438,104989,114611,134756,151697,0.49
5679,19440,78023,85487,102472,115014,0.38
5680,19444,122080,133820,162324,178097,0.41
5681,19446,90453,99677,123480,136512,0.36
5682,19453,115664,124246,157526,170023,1.06
5683,19454,100274,109293,135356,151571,0.34
5684,19456,0,0,0,0,0.0
5685,19460,94935,104564,127924,141190,0.72
5686,19462,100918,109358,132273,147453,0.8
5687,19464,62760,69653,81816,91592,0.48
5688,19465,94057,105009,127395,143680,0.24
5689,19468,87144,95152,111921,124840,0.42
5690,19473,100996,107204,126023,140658,0.46
5691,19474,114408,125236,143588,160527,1.02
5692,19475,82035,91705,110352,123962,0.46
5693,19481,0,0,0,0,0.0
5694,19492,62633,67386,97935,109124,0.51
5695,19501,81235,90480,85810,95986,0.69
5696,19503,75755,78816,79152,84854,0.91
5697,19504,85700,97311,103035,116492,0.34
5698,19505,77718,85405,90442,101694,0.83
5699,19506,82007,90469,96665,109427,0.45
5700,19507,65930,74225,87239,100266,0.44
5701,19508,83479,91137,95530,106514,0.14
5702,19510,88022,96125,98057,111934,0.16
5703,19512,74718,81681,89561,101117,0.31
5704,19518,99957,104984,107380,119576,0.47
5705,19520,89572,101625,118385,133426,0.41
5706,19522,80616,89216,100562,113126,0.13
5707,19525,101285,110835,122356,139082,1.01
5708,19526,66404,76263,79893,89902,0.16
5709,19529,87782,97641,105990,119935,0.28
5710,19530,69268,77521,85489,95779,0.21
5711,19533,83345,89504,103277,113850,0.45
5712,19534,78163,86812,91649,104706,0.22
5713,19539,70685,78888,87888,99271,0.16
5714,19540,86445,96516,107646,120042,0.22
5715,19541,73862,78058,86128,95410,0.42
5716,19543,90324,100149,108275,121547,0.54
5717,19544,57931,63730,75785,85371,1.12
5718,19547,84393,94385,99445,110835,0.35
5719,19549,81316,86331,89779,100867,-0.75
5720,19550,67650,75594,85100,97927,0.34
5721,19551,79648,85030,93633,104388,0.13
5722,19554,76409,81830,86830,97996,0.3
5723,19555,70950,77901,82976,92839,0.2
5724,19559,75309,84144,87484,102754,0.39
5725,19560,65447,69864,74531,81156,0.43
5726,19562,69347,78413,79058,87628,-0.04
5727,19565,79740,86594,98406,109818,0.25
5728,19567,64688,70149,77355,86636,0.52
5729,19601,30867,33567,42621,46526,0.32
5730,19602,28501,30996,38563,42162,0.1
5731,19604,40672,44048,52707,58057,0.32
5732,19605,68427,74990,81092,89086,0.47
5733,19606,76607,82671,92111,102081,0.12
5734,19607,68620,75553,86732,95003,0.12
5735,19608,86166,96089,107378,120233,0.27
5736,19609,76976,82391,87038,95409,0.14
5737,19610,88399,99133,121223,132912,0.58
5738,19611,44020,46617,57930,63355,0.3
5739,19701,90162,101030,115953,129246,0.31
5740,19702,81535,88075,102988,114679,0.42
5741,19703,63957,69663,80382,88835,0.28
5742,19706,59801,61448,69780,74912,0.09
5743,19707,134814,147222,178063,193916,0.07
5744,19709,105874,111414,127507,140391,3.17
5745,19711,79194,83817,110462,119373,0.36
5746,19713,62822,68934,80228,89310,0.09
5747,19716,175000,200001,154188,250000,0.0
5748,19717,116666,120925,154177,164806,-0.03
5749,19720,64204,69296,82438,91162,0.03
5750,19730,120799,129257,148243,164441,1.23
5751,19731,119884,124891,151136,166853,1.41
5752,19732,140636,152343,215945,234311,0.64
5753,19733,109900,116313,119528,132545,1.28
5754,19734,104037,109443,122160,135381,1.25
5755,19735,200001,200001,213333,227369,0.0
5756,19736,200001,200001,213333,227369,0.0
5757,19801,31688,36628,52781,58881,0.54
5758,19802,49221,53505,67652,74584,0.0
5759,19803,110145,118715,148604,163801,0.52
5760,19804,60567,66125,74339,82166,-0.1
5761,19805,52267,56154,70704,78485,0.11
5762,19806,74982,84491,113697,127298,0.52
5763,19807,122070,130828,203078,219597,0.99
5764,19808,80071,88360,104579,116129,-0.06
5765,19809,79088,84041,98657,108769,-0.18
5766,19810,99659,107352,125182,139131,0.08
5767,19901,49098,52287,64924,71173,0.88
5768,19902,0,0,0,0,0.61
5769,19904,55925,59191,70050,76067,1.43
5770,19930,93661,100523,129790,142018,1.91
5771,19931,57526,63974,70660,79917,1.58
5772,19933,52627,57259,68995,77385,1.99
5773,19934,66149,72048,79695,88042,1.19
5774,19936,49094,50000,59008,62639,6.7
5775,19938,67495,76037,80251,90100,1.2
5776,19939,72318,78535,95073,104482,2.14
5777,19940,54956,66073,69914,78871,1.74
5778,19941,58804,65535,71938,81809,3.55
5779,19943,59034,65298,74941,83480,1.17
5780,19944,87528,100371,125434,139598,0.66
5781,19945,74009,83375,93442,107085,1.53
5782,19946,57304,65304,73755,83427,2.76
5783,19947,56246,61390,75510,84137,1.69
5784,19950,57835,64062,73284,82719,1.41
5785,19951,75664,79860,93197,102788,1.66
5786,19952,51799,55419,64739,71751,0.46
5787,19953,57449,65477,76183,88737,0.51
5788,19954,58931,64317,69911,77916,0.56
5789,19955,82249,89641,85794,94679,0.88
5790,19956,55180,61689,73678,83532,1.22
5791,19958,78808,85394,104772,115816,2.05
5792,19960,57248,63036,66553,74418,1.77
5793,19962,64766,70389,79589,88579,1.28
5794,19963,59820,66462,75425,83396,1.52
5795,19964,63062,72813,77107,88767,0.54
5796,19966,55872,62355,72894,81630,2.28
5797,19967,70337,79974,94105,107264,1.32
5798,19968,68665,73333,92354,102188,1.96
5799,19970,76798,83462,103845,115174,2.13
5800,19971,80994,88502,114912,126074,2.24
5801,19973,57432,62960,75561,84279,1.61
5802,19975,56755,64359,90257,101998,2.46
5803,19977,64315,71574,79008,88698,1.85
5804,19979,59985,67336,68871,78040,0.32
5805,20001,112931,124900,153186,172848,2.06
5806,20002,100931,110932,141897,158962,3.51
5807,20003,132666,142130,179423,194690,3.4
5808,20004,152245,165698,207668,235684,2.01
5809,20005,104058,115824,144099,165431,0.27
5810,20006,77144,81735,91361,106947,0.21
5811,20007,153813,169195,217556,241152,-0.02
5812,20008,132645,150523,193615,217810,0.22
5813,20009,115481,132025,162551,186455,0.79
5814,20010,92603,107433,136457,158150,0.43
5815,20011,80742,92618,120240,136478,0.32
5816,20012,109925,118450,164649,181184,2.3
5817,20015,185571,200001,251285,280019,-0.04
5818,20016,161707,172660,225254,245474,1.51
5819,20017,93132,103399,123948,140922,1.32
5820,20018,75903,85814,109459,125823,1.38
5821,20019,43573,50217,63494,72705,0.12
