,ADDRESS,STATE,CITY,ZIP,latitude,longitude,COSTCO_HEARING_CENTER
120,7251 CAMINO ARROYO,CA,GILROY,95020,37.008691,-121.554466,Yes
121,1051 HUME WAY,CA,VACAVILLE,95687,38.350395,-121.98133,Yes
122,2800 INDEPENDENCE DR,CA,LIVERMORE,94551,37.7023,-121.81067,Yes
123,6898 RALEIGH ROAD,CA,SAN JOSE,95119,37.243844,-121.785206,Yes
124,3150 FOSTORIA WAY,CA,DANVILLE,94526,37.781597,-121.975034,Yes
125,2400 MONUMENT BLVD,CA,CONCORD,94520,37.95949,-122.03451,Yes
126,2201 SENTER RD,CA,SAN JOSE,95112,37.31125,-121.85128,Yes
127,1709 AUTOMATION PKWY,CA,SAN JOSE,95131,37.38922,-121.88307,Yes
128,1339 N DAVIS RD,CA,SALINAS,93907,36.703445,-121.666955,Yes
129,5301 ALMADEN EXPY,CA,SAN JOSE,95118,37.25427,-121.87582,Yes
130,43621 PACIFIC COMMONS BLVD,CA,FREMONT,94538,37.502499,-121.971421,Yes
131,1601 COLEMAN AVE,CA,SANTA CLARA,95050,37.35771,-121.93725,Yes
132,198 PLAZA DR,CA,VALLEJO,94591,38.131561,-122.215251,Yes
133,150 LAWRENCE STATION RD,CA,SUNNYVALE,94086,37.372205,-121.995957,Yes
134,28505 HESPERIAN BLVD,CA,HAYWARD,94545,37.617136,-122.08834,Yes
135,35875 WARM SPRINGS PARKWAY,CA,MURRIETA,92563,,,Yes
136,1900 DAVIS ST,CA,SAN LEANDRO,94577,37.718203,-122.180726,Yes
137,1000 N RENGSTORFF AVE,CA,MOUNTAIN VIEW,94043,37.41961,-122.09315,Yes
138,801 TIOGA AVE,CA,SAND CITY,93955,36.616711,-121.846725,Yes
139,4801 CENTRAL AVENUE,CA,RICHMOND,94804,37.898,-122.3206,Yes
140,220 SYLVANIA AVE,CA,SANTA CRUZ,95060,36.985102,-122.03482,Yes
141,2300 MIDDLEFIELD RD,CA,REDWOOD CITY,94063,37.4801,-122.21705,Yes
142,1001 METRO CENTER BLVD,CA,FOSTER CITY,94404,37.5608,-122.27472,Yes
143,450 10TH ST,CA,SAN FRANCISCO,94103,37.77099,-122.41052,Yes
144,900 DUBUQUE AVE,CA,SOUTH SAN FRANCISCO,94080,37.66173,-122.40163,No
145,451 S AIRPORT BLVD,CA,SOUTH SAN FRANCISCO,94080,37.641412,-122.402563,Yes
146,300 VINTAGE WAY,CA,NOVATO,94945,38.086361,-122.551722,Yes
147,1600 EL CAMINO REAL,CA,SOUTH SAN FRANCISCO,94080,37.66462,-122.44919,Yes
148,1900 SANTA ROSA AVE,CA,SANTA ROSA,95407,38.42007,-122.71229,Yes
149,5901 REDWOOD DR,CA,ROHNERT PARK,94928,38.352139,-122.715381,Yes
150,1275 AIRPORT PARK BLVD,CA,UKIAH,95482,39.1272227,-123.1967938,Yes
151,1006 W WABASH AVE,CA,EUREKA,95501,40.79244091,-124.1824341,Yes
152,18414 COTTONWOOD DR,CO,PARKER,80138,39.55879,-104.776443,Yes
153,1471 S HAVANA ST,CO,AURORA,80012,39.689939,-104.86595,Yes
154,5885 BARNES RD,CO,COLORADO SPRINGS,80922,38.89349,-104.71827,Yes
155,8686 PARK MEADOWS CENTER DR,CO,LITTLETON,80124,39.560636,-104.878905,Yes
156,5050 N NEVADA AVE,CO,COLORADO SPRINGS,80918,38.90399,-104.81731,Yes
157,16375 N. WASHINGTON ST,CO,THORNTON,80023,39.993433,-104.978226,Yes
158,4705 WEITZEL ST,CO,TIMNATH,80547,40.520491,-104.989036,Yes
159,4000 RIVER POINT PKWY,CO,SHERIDAN,80110,39.644394,-105.006393,Yes
160,6400 W 92ND AVE,CO,WESTMINSTER,80031,39.863667,-105.066961,Yes
161,5195 WADSWORTH BLVD,CO,ARVADA,80002,39.791059,-105.08147,Yes
162,7900 W QUINCY AVE,CO,LITTLETON,80123,39.638706,-105.085093,Yes
163,600 MARSHALL RD,CO,SUPERIOR,80027,39.95974,-105.17175,Yes
164,170 COOLEY MESA RD,CO,GYPSUM,81637,39.643382,-106.888696,Yes
165,779 CONNECTICUT AVENUE,CT,NORWALK,6854,41.092,-73.452,Yes
166,200 FEDERAL RD,CT,BROOKFIELD,6804,41.44289,-73.40487,Yes
167,1718 BOSTON POST RD,CT,MILFORD,6460,41.248982,-73.023517,Yes
168,3600 E MAIN ST,CT,WATERBURY,6705,41.543019,-72.971329,Yes
169,405 HARTFORD RD,CT,NEW BRITAIN,6053,41.70934,-72.76613,Yes
170,75 FRESHWATER BLVD,CT,ENFIELD,6082,41.9935,-72.576,Yes
171,1220 TAMARACK AVE,CT,SOUTH WINDSOR,6074,41.8177274,-72.5566389,Yes
172,284 FLANDERS RD,CT,EAST LYME,6333,41.359479,-72.212771,Yes
173,2441 MARKET ST NE,DC,WASHINGTON,20018,38.920362,-76.950368,Yes
174,900 CENTER BLVD,DE,NEWARK,19702,39.675369,-75.649492,Yes
175,4067 LAGNIAPPE WAY,FL,TALLAHASSEE,32317,30.461111,-84.212508,Yes
176,8000 PARRAMORE RD,FL,JACKSONVILLE,32244,30.202373,-81.756201,Yes
177,4901 GATE PKWY,FL,JACKSONVILLE,32246,30.251534,-81.535932,Yes
178,2655 GULF TO BAY BLVD,FL,CLEARWATER,33759,27.960478,-82.728188,Yes
179,8712 W LINEBAUGH AVE,FL,TAMPA,33625,28.04428,-82.58091,Yes
180,2225 GRAND CYPRESS DR,FL,LUTZ,33559,28.190995,-82.393039,Yes
181,10921 CAUSEWAY BLVD,FL,BRANDON,33511,27.922973,-82.33153,Yes
182,741 ORANGE AVE,FL,ALTAMONTE SPRINGS,32714,28.66183,-81.41494,Yes
183,4696 GARDENS PARK BLVD,FL,ORLANDO,32839,28.496131,-81.4257567,Yes
184,3333 UNIVERSITY BLVD,FL,WINTER PARK,32792,28.597438,-81.301466,Yes
185,805 LIGHTHOUSE DRIVE,FL,BRADENTON,34212,27.4959,-82.4713,Yes
186,215 WORLD COMMERCE PARKWAY,FL,ST. AUGUSTINE,32092,,,Yes
187,8201 S TAMIAMI TRL UNIT 501,FL,SARASOTA,34238,27.23332,-82.49758,Yes
188,4305 PINEDA CAUSEWAY,FL,MELBOURNE,32940,28.18942,-80.719726,Yes
189,7171 CYPRESS LAKE DR,FL,FORT MYERS,33907,26.546143,-81.87511,Yes
190,10088 GULF CENTER DR,FL,FORT MYERS,33913,26.48857,-81.78635,Yes
191,6275 NAPLES BLVD,FL,NAPLES,34109,26.219403,-81.772904,Yes
192,3250 NORTHLAKE BLVD,FL,PALM BEACH GARDENS,33403,26.808339,-80.086924,Yes
193,11001 SOUTHERN BLVD,FL,ROYAL PALM BEACH,33411,26.68102,-80.2195,Yes
194,1873 LANTANA RD,FL,LANTANA,33462,26.587399,-80.071249,Yes
195,4621 CORAL RIDGE DR.,FL,CORAL SPRINGS,33076,26.287747,-80.2824665,Yes
196,17800 CONGRESS AVE,FL,BOCA RATON,33487,26.41213,-80.10209,Yes
197,1800 W SAMPLE RD,FL,POMPANO BEACH,33064,26.274466,-80.148158,Yes
198,15915 PINES BLVD,FL,PEMBROKE PINES,33027,26.00776,-80.361207,Yes
199,1890 S UNIVERSITY DR,FL,DAVIE,33324,26.096724,-80.251043,Yes
200,16580 NW 59TH AVE,FL,MIAMI LAKES,33014,25.919146,-80.297293,No
201,7795 WEST FLAGLER STREET,FL,MIAMI,33144,25.774542,-80.321851,Yes
202,14800 SOLE MIA WAY,FL,NORTH MIAMI,33181,25.9137,-80.154222,Yes
203,13450 SW 120TH ST,FL,MIAMI,33186,25.656335,-80.412516,Yes
204,100 COBB PKWY,GA,RINGGOLD,30736,34.96726,-85.19344,Yes
205,1715 CHARLES HARDY PKWY,GA,DALLAS,30157,33.9204932,-84.7614352,Yes
